Date,Text,Tokens
07/2023,Pliss drpd sbux gua lebih suka fore coffe apalagi yg hazelnut,"['pliss', 'drpd', 'sbux', 'gua', 'lebih', 'suka', 'fore', 'coffe', 'apalagi', 'yg', 'hazelnut']"
07/2023,"Aku kalo lagi punya uang beli Starbucks. Klo gak punya budget ya Kopi kenangan, Fore atau Flash. Tapi gak bilang Starbuck mahal karena semua rasanya memang worthed. Sudah pernah juga ngopi2 di Hotel yg lebih mahal dari Starbucks. Tapi gak tiap hari juga. Sesimple itu.","['aku', 'kalo', 'lagi', 'punya', 'uang', 'beli', 'starbucks', 'klo', 'gak', 'punya', 'budget', 'ya', 'kopi', 'kenangan', 'fore', 'atau', 'flash', 'tapi', 'gak', 'bilang', 'starbuck', 'mahal', 'karena', 'semua', 'rasanya', 'memang', 'worthe', 'sudah', 'pernah', 'juga', 'di', 'hotel', 'yg', 'lebih', 'mahal', 'dari', 'starbuck', 'tapi', 'gak', 'tiap', 'hari', 'juga', 'sesimple', 'itu']"
07/2023,"Aku kalo lagi punya uang beli Starbucks. Klo gak punya budget ya Kopi kenangan, Fore atau Flash. Tapi gak bilang Starbuck mahal karena semua rasanya memang worthed. Sudah pernah juga ngopi2 di Hotel yg lebih mahal dari Starbucks. Tapi gak tiap hari juga. Sesimple itu.","['aku', 'kalo', 'lagi', 'punya', 'uang', 'beli', 'starbucks', 'klo', 'gak', 'punya', 'budget', 'ya', 'kopi', 'kenangan', 'fore', 'atau', 'flash', 'tapi', 'gak', 'bilang', 'starbuck', 'mahal', 'karena', 'semua', 'rasanya', 'memang', 'worthe', 'sudah', 'pernah', 'juga', 'di', 'hotel', 'yg', 'lebih', 'mahal', 'dari', 'starbuck', 'tapi', 'gak', 'tiap', 'hari', 'juga', 'sesimple', 'itu']"
07/2023,Semenjak ada Point coffee jadi udh lama banget ga beli chatime udah lupa rasa,"['semenjak', 'ada', 'point', 'coffee', 'jadi', 'udh', 'lama', 'banget', 'ga', 'beli', 'chatime', 'udah', 'lupa', 'rasa']"
08/2023,"Nyoba fore, tp tetep suka kopi kenangan","['nyoba', 'fore', 'tp', 'tetep', 'suka', 'kopi', 'kenangan']"
08/2023,"Juaranya kopi ya cuma FORE, no debat no kecot","['juaranya', 'kopi', 'ya', 'cuma', 'fore', 'debat', 'kecot']"
08/2023,"Padahal ada point coffee bisa minta americano on the rock apa doppio on the rock, add on susu pisang masih masuk lah. Kalau nescafe item yg kalengan ini dah manis soalnya","['padahal', 'ada', 'point', 'coffee', 'bisa', 'minta', 'americano', 'rock', 'apa', 'doppio', 'rock', 'add', 'susu', 'pisang', 'masih', 'masuk', 'lah', 'kalau', 'nescafe', 'item', 'yg', 'kalengan', 'ini', 'dah', 'manis', 'soalnya']"
08/2023,"Ini tolong bgt ya udh gak bisa beli es batu nya di point coffee, jgn diikutin plis.","['ini', 'tolong', 'bgt', 'ya', 'udh', 'gak', 'bisa', 'beli', 'es', 'batu', 'nya', 'di', 'point', 'coffee', 'jgn', 'diikutin', 'plis']"
08/2023,"engga soalnya minuman kemasan gulanya tinggi apalagi gabungin dua minuman gini. kalau aku mungkin bakal beli point coffee aja udah. caffe latte no sugar, gak ribet. harganya juga kayaknya sama aja karna setauku nescafe kaleng 10 an, es batu 3k, susu pisang mujigae 10 an","['engga', 'soalnya', 'minuman', 'kemasan', 'gulanya', 'tinggi', 'apalagi', 'gabungin', 'dua', 'minuman', 'gini', 'kalau', 'aku', 'mungkin', 'bakal', 'beli', 'point', 'coffee', 'aja', 'udah', 'caffe', 'latte', 'sugar', 'gak', 'ribet', 'harganya', 'juga', 'kayaknya', 'sama', 'aja', 'karna', 'setauku', 'nescafe', 'kaleng', 'es', 'batu', 'susu', 'pisang', 'mujigae']"
08/2023,Ada point coffee malah beli kopi kaleng?,"['ada', 'point', 'coffee', 'malah', 'beli', 'kopi', 'kaleng']"
08/2023,"Semua akan kopi pada waktunya wkwk. Aku juga kalo gak batesin, bisa sehari 2x ngopi. Sekarang seminggu 2-3x aja. Btw, selain fore, kopken emang enak sih menurutku.","['semua', 'akan', 'kopi', 'pada', 'waktunya', 'wkwk', 'aku', 'juga', 'kalo', 'gak', 'batesin', 'bisa', 'sehari', 'ngopi', 'sekarang', 'seminggu', 'aja', 'btw', 'selain', 'fore', 'kopken', 'emang', 'enak', 'sih', 'menurutku']"
08/2023,"MENCHI KATSU SM POINT COFFEE YANG MYSTERIOUS GREEN. Trus sosis keju, dimsum ayam jamur atau bayem (?), Chicken nanban sandwich, boneless chicken, roti yg cheese boat (?), Apple pie, onigiri tuna mayo, pizza yg pepperoni","['menchi', 'katsu', 'sm', 'point', 'coffee', 'yang', 'mysterious', 'green', 'trus', 'sosis', 'keju', 'dimsum', 'ayam', 'jamur', 'atau', 'bayem', 'chicken', 'nanban', 'sandwich', 'boneless', 'chicken', 'roti', 'yg', 'cheese', 'boat', 'apple', 'pie', 'onigiri', 'tuna', 'mayo', 'pizza', 'yg', 'pepperoni']"
08/2023,"aku suka dimsumnya, point coffee","['aku', 'suka', 'dimsumnya', 'point', 'coffee']"
08/2023,"Pngen bgt fore, di Cikarang blm ada keknya","['pngen', 'bgt', 'fore', 'di', 'cikarang', 'blm', 'ada', 'keknya']"
08/2023,Di tempatku gada fore,"['di', 'tempatku', 'gada', 'fore']"
08/2023,"msh blm nemu, perkopiannya fore tuh rasa kopinya kencengg bgt dah susah diterima utk aku yg gasuka sm kopi yg strong gt huh","['msh', 'blm', 'nemu', 'perkopiannya', 'fore', 'tuh', 'rasa', 'kopinya', 'kencengg', 'bgt', 'dah', 'susah', 'diterima', 'utk', 'aku', 'yg', 'gasuka', 'sm', 'kopi', 'yg', 'strong', 'gt', 'huh']"
08/2023,"Banana butterscotch latte dulu paling fav, pandan latte ekstra creamcheese juga enak, gue dlu mantan barista fore jd smp skrg masi bisa tu bikin aren latte, praline macchiato dl","['banana', 'butterscotch', 'latte', 'dulu', 'pale', 'fav', 'pandan', 'latte', 'ekstra', 'creamcheese', 'juga', 'enak', 'gue', 'dlu', 'mantan', 'barista', 'fore', 'jd', 'smp', 'skrg', 'masi', 'bisa', 'tu', 'bikin', 'aren', 'latte', 'praline', 'macchiato', 'dl']"
08/2023,"Aku pernah jam 9 malem masih nangkring di indomaret sambil nyruput point coffee. Trs ada roti fresh from oven mereka tawarin ke semua yg masih ada di indomaret pas itu, aku beli yg double cheese tuh 9k, aslinya 10k. Selain itu kurang tau sih promonya pas kapan aja","['aku', 'pernah', 'jam', 'malem', 'masih', 'nangkre', 'di', 'indomaret', 'sambil', 'nyruput', 'point', 'coffee', 'trs', 'ada', 'roti', 'fresh', 'oven', 'mereka', 'tawarin', 'ke', 'semua', 'yg', 'masih', 'ada', 'di', 'indomaret', 'pas', 'itu', 'aku', 'beli', 'yg', 'double', 'cheese', 'tuh', 'aslinya', 'selain', 'itu', 'kurang', 'tau', 'sih', 'promonya', 'pas', 'kapan', 'aja']"
08/2023,Promo an point coffee senin kmrn,"['promo', 'point', 'coffee', 'senin', 'kmrn']"
08/2023,"point coffee, coklat thunder, campina krezz, chitato sapi panggang, wallens coklat, garuda ocorn, ghost paper, kanzler, chiki ball ayam","['point', 'coffee', 'coklat', 'thunder', 'campina', 'krezz', 'chitato', 'sapi', 'panggang', 'wallens', 'coklat', 'garuda', 'ocorn', 'ghost', 'paper', 'kanzler', 'chiki', 'ball', 'ayam']"
08/2023,kalo diliat dari gelas minumannya mirip point coffee TP GATAU SPILL LAH MAU JG,"['kalo', 'diliat', 'dari', 'gelas', 'minumannya', 'mirip', 'point', 'coffee', 'tp', 'gatau', 'spill', 'lah', 'mau', 'jg']"
08/2023,kamu beli di mana ? itu gelas point coffee bukan ?,"['kamu', 'beli', 'di', 'mana', 'itu', 'gelas', 'point', 'coffee', 'bukan']"
08/2023,gelasnya point coffee tapi lo beli croissant nya dmn anjir???? spill,"['gelasnya', 'point', 'coffee', 'tapi', 'lo', 'beli', 'croissant', 'nya', 'dmn', 'anjir', 'spill']"
08/2023,"Kmrn takeaway point coffee di domar. Udh bayar dan disuruh tunggu dulu sm baristanya tp ga fokus malah jalan keluar, dikejar sm mba staf lain karna pesenannya beloman","['kmrn', 'takeaway', 'point', 'coffee', 'di', 'domar', 'udh', 'bayar', 'dan', 'disuruh', 'tunggu', 'dulu', 'sm', 'baristanya', 'tp', 'ga', 'fokus', 'malah', 'jalan', 'keluar', 'dikejar', 'sm', 'mba', 'staf', 'lain', 'karna', 'pesenannya', 'beloman']"
08/2023,Gue suka tomoro aaaakh kangen tomoro ada di sebelah kampus alias KANGEN KE KAMPUS,"['gue', 'suka', 'tomoro', 'aaaakh', 'kangen', 'tomoro', 'ada', 'di', 'sebelah', 'kampus', 'alias', 'kangen', 'ke', 'kampus']"
08/2023,"Aku suka tomoro, tapi es coklatnya menurutku lebih kayak es milo","['aku', 'suka', 'tomoro', 'tapi', 'es', 'coklatnya', 'menurutku', 'lebih', 'kayak', 'es', 'milo']"
09/2023,menu barunya fore recommend bgt 10/10,"['menu', 'barunya', 'fore', 'recommend', 'bgt']"
09/2023,Kopi kenangan di aplikasi,"['kopi', 'kenangan', 'di', 'aplikasi']"
09/2023,Fore tidak pernah mengecewakan pokoknyaaa,"['fore', 'tidak', 'pernah', 'mengecewakan', 'pokoknyaaa']"
09/2023,matcha espresso by kopi kenangan,"['matcha', 'espresso', 'kopi', 'kenangan']"
09/2023,matchanya kopi kenangan,"['matchanya', 'kopi', 'kenangan']"
09/2023,"aku juga pernah nder lagi dinas luar kota kan trus ke point coffee dan baru inget di depan indomart kalo aku ga bawa dompet dan bawa hp yg susah sinyal, alhasil aku minta tetring ke barista nya dan boleh eh ternyata di point gada paper bag alhasil aku harus beli jajan biar","['aku', 'juga', 'pernah', 'nder', 'lagi', 'dinas', 'luar', 'kota', 'kan', 'trus', 'ke', 'point', 'coffee', 'dan', 'baru', 'inget', 'di', 'depan', 'indomart', 'kalo', 'aku', 'ga', 'bawa', 'dompet', 'dan', 'bawa', 'hp', 'yg', 'susah', 'sinyal', 'alhasil', 'aku', 'minta', 'tetre', 'ke', 'barista', 'nya', 'dan', 'boleh', 'eh', 'ternyata', 'di', 'point', 'gada', 'paper', 'bag', 'alhasil', 'aku', 'harus', 'beli', 'jajan', 'biar']"
09/2023,Sebulan kmrin bner2 gila matcha lattenya tomoro smp tiap minggu pasti absen,"['sebulan', 'kmrin', 'gila', 'matcha', 'lattenya', 'tomoro', 'smp', 'tiap', 'minggu', 'pasti', 'absen']"
09/2023,@ristiiiningtyas yasss liat thread ini kalo mau rekomen fore coffee,"['yasss', 'liat', 'thread', 'ini', 'kalo', 'mau', 'rekomen', 'fore', 'coffee']"
09/2023,"Coba yg matcha latte nya... tp b aja, masih lebih suka yg point coffee :D","['coba', 'yg', 'matcha', 'latte', 'nya', 'tp', 'b', 'aja', 'masih', 'lebih', 'suka', 'yg', 'point', 'coffee', 'd']"
09/2023,aku ga pernah beli matcha latte/freeze nya siee tp MATCHA ESPRESSO KOPI KENANGAN ENAK BANGETT SUMPIL,"['aku', 'ga', 'pernah', 'beli', 'matcha', 'latte', 'freeze', 'nya', 'siee', 'tp', 'matcha', 'espresso', 'kopi', 'kenangan', 'enak', 'bangett', 'sumpil']"
09/2023,ih mau coba matcha kopi kenangan ah,"['ih', 'mau', 'coba', 'matcha', 'kopi', 'kenangan', 'ah']"
09/2023,"Di kediri point coffee nya tutup gegara idm nya direnov, sedih bgt padahal lagi ngidam","['di', 'kediri', 'point', 'coffee', 'nya', 'tutup', 'gegara', 'idm', 'nya', 'direnov', 'sedih', 'bgt', 'padahal', 'lagi', 'ngidam']"
09/2023,"Duh kepikiran mau order point coffee, tapi udh aman belom yak minum es (:","['duh', 'kepikiran', 'mau', 'order', 'point', 'coffee', 'tapi', 'udh', 'aman', 'belom', 'yak', 'minum', 'es']"
09/2023,"Nder, kamu bikin aku pengen order point coffee Tapi aku masih harus tunggu gajian sampe tgl 5","['nder', 'kamu', 'bikin', 'aku', 'pengen', 'order', 'point', 'coffee', 'tapi', 'aku', 'masih', 'harus', 'tunggu', 'gajian', 'sampe', 'tgl']"
09/2023,"OIYA BESOK SENIN pengen nyobain point coffee pas promo tapi lupa terus, thanks sender wkwk","['oiya', 'besok', 'senin', 'pengen', 'nyobain', 'point', 'coffee', 'pas', 'promo', 'tapi', 'lupa', 'terus', 'thank', 'sender', 'wkwk']"
09/2023,"Sama kayak indomaret point, jualan popmie tapi ga ada air panas. Minta ke point coffee juga ga boleh. Akhirnya pesen americano panas ga pake gula dan kopi buat nyeduh popmie","['sama', 'kayak', 'indomaret', 'point', 'jualan', 'popmie', 'tapi', 'ga', 'ada', 'air', 'panas', 'minta', 'ke', 'point', 'coffee', 'juga', 'ga', 'boleh', 'akhirnya', 'pesen', 'americano', 'panas', 'ga', 'pake', 'gula', 'dan', 'kopi', 'buat', 'nyeduh', 'popmie']"
09/2023,PENGEN BELI tapi yang ada point coffee nya lagi renov jadinya tutup(⁠个⁠_⁠个⁠),"['pengen', 'beli', 'tapi', 'yang', 'ada', 'point', 'coffee', 'nya', 'lagi', 'renov', 'jadinya']"
09/2023,bukan fore asli wuakaka matcha latte bikin sendiri gelasnya bekas fore biar oke xixi + foto di kebon,"['bukan', 'fore', 'asli', 'wuakaka', 'matcha', 'latte', 'bikin', 'sendiri', 'gelasnya', 'bekas', 'fore', 'biar', 'oke', 'xixi', 'foto', 'di', 'kebon']"
09/2023,Cup coffee sing koyok ngene selain fore ndi neh yaa Aku di kei info mbok an,"['cup', 'coffee', 'sing', 'koyok', 'ngene', 'selain', 'fore', 'ndi', 'neh', 'yaa', 'aku', 'di', 'kei', 'info', 'mbok']"
09/2023,Samaa tomoro,"['samaa', 'tomoro']"
09/2023,rating tomoro coffe menurut kalian brpa ?,"['rate', 'tomoro', 'coffe', 'menurut', 'kalian', 'brpa']"
09/2023,"Kebetulan sm nih, di tomoro","['kebetulan', 'sm', 'nih', 'di', 'tomoro']"
09/2023,"Ituu kayaknya khusus beli minuman fore junior deh nder, aku pernah dapet stikernyaa","['ituu', 'kayaknya', 'khusus', 'beli', 'minuman', 'fore', 'junior', 'deh', 'nder', 'aku', 'pernah', 'dapet', 'stikernyaa']"
09/2023,Duh jadi pengen tomoro,"['duh', 'jadi', 'pengen', 'tomoro']"
09/2023,Pgn coba tomoro ih jadinya,"['pgn', 'coba', 'tomoro', 'ih', 'jadinya']"
09/2023,niih ndeer. kopi kenangan :)),"['niih', 'ndeer', 'kopi', 'kenangan']"
10/2023,Ini di semua point coffee seindo nder?,"['ini', 'di', 'semua', 'point', 'coffee', 'seindo', 'nder']"
10/2023,"Happy birtdyay nderr Btw kdr gada point coffee, lg tutup","['happy', 'birtdyay', 'nderr', 'btw', 'kdr', 'gada', 'point', 'coffee', 'lg', 'tutup']"
10/2023,"yess aku udah nuker. sayangnya mbak point coffee kurang ramah. mukanya jutek bgt lg ultah, bukannya seneng malah makin sedihh huu anw haply birthday sender","['yess', 'aku', 'udah', 'nuker', 'sayangnya', 'mbak', 'point', 'coffee', 'kurang', 'ramah', 'mukanya', 'jutek', 'bgt', 'lg', 'ultah', 'bukannya', 'seneng', 'malah', 'makin', 'sedihh', 'huu', 'anw', 'haply', 'birthday', 'sender']"
10/2023,hah point coffee punya cake juga????,"['hah', 'point', 'coffee', 'punya', 'cake', 'juga']"
10/2023,"Iyaaahhh aku beberapa bulan lalu pas ultah dapet doong hihi Jangan lupa klaim di app poinku BTW Point Coffee Surabaya gada cakenya ya? Belom nemu selama ini. Aku pernah makan di PC Bali, enak cakenyaaaa murcidah lagi.","['iyaaahhh', 'aku', 'beberapa', 'bulan', 'lalu', 'pas', 'ultah', 'dapet', 'doong', 'hihi', 'jangan', 'lupa', 'klaim', 'di', 'app', 'poinku', 'btw', 'point', 'coffee', 'surabaya', 'gada', 'cakenya', 'ya', 'belom', 'nemu', 'selama', 'ini', 'aku', 'pernah', 'makan', 'di', 'pc', 'bali', 'enak', 'cakenyaaaa', 'murcidah', 'lagi']"
10/2023,iya sumpah tomoro sering bgt ngasih promo kalo di kantor suka beli lewat app lalu diambilin ob di kantor huhu my lifesaver,"['iya', 'sumpah', 'tomoro', 'sere', 'bgt', 'ngasih', 'promo', 'kalo', 'di', 'kantor', 'suka', 'beli', 'lewat', 'app', 'lalu', 'diambilin', 'ob', 'di', 'kantor', 'huhu', 'lifesaver']"
10/2023,hah point coffee ada cake? kutau pastry ajaaaa aaaa mauu,"['hah', 'point', 'coffee', 'ada', 'cake', 'kutau', 'pastry', 'ajaaaa', 'aaaa', 'mauu']"
10/2023,"Buka di kudus juga dong. Demak, pati, rembang ada point coffee masa kudus kelewatan @pointcoffeeid","['buka', 'di', 'kudus', 'juga', 'dong', 'demak', 'pati', 'rembang', 'ada', 'point', 'coffee', 'masa', 'kudus', 'kelewatan']"
10/2023,"Baru tau point coffee jual cake jugaa, keliatannya enakk btw hbd senderr","['baru', 'tau', 'point', 'coffee', 'jual', 'cake', 'jugaa', 'keliatannya', 'enakk', 'btw', 'hbd', 'senderr']"
